iter	Logloss
129	0.2510405876
130	0.2509956217
131	0.2508779602
132	0.2507067933
133	0.2505265947
134	0.250396243
135	0.2500168546
136	0.2499284872
137	0.2498826414
138	0.2498186106
139	0.2496876988
140	0.2496168238
141	0.2494437652
142	0.2493478023
143	0.2493265487
144	0.2492109322
145	0.2491233857
146	0.2490806888
147	0.2489984434
148	0.2489593415
149	0.2488753346
150	0.2486982533
151	0.2486381036
152	0.2485551652
153	0.2484913973
154	0.2484172791
155	0.2483464109
156	0.2482692262
157	0.2481673294
158	0.2481030961
159	0.247878955
160	0.2478000779
161	0.2477188789
162	0.2473767913
163	0.2472253564
164	0.2471520792
165	0.2471154258
166	0.2470644867
167	0.2470350137
168	0.2469148298
169	0.2468483997
170	0.2467739147
171	0.2467151397
172	0.2465749207
173	0.246513
174	0.2463620996
175	0.2462582204
176	0.2461516513
177	0.2456427225
178	0.2454973786
179	0.2453844891
180	0.2452976231
181	0.2452596809
182	0.2451501851
183	0.245092023
184	0.2449814661
185	0.2448868747
186	0.2448331762
187	0.2447438084
188	0.2446826587
189	0.2445813317
190	0.2444688522
191	0.2443747067
192	0.2442560524
193	0.2437077924
194	0.2435788102
195	0.2434482779
196	0.2433673449
197	0.2432877564
198	0.2431984954
199	0.2431454539
200	0.2430076603
201	0.2428356179
202	0.2427916751
203	0.2427496676
204	0.2426492172
205	0.2425107669
206	0.2424297396
207	0.2422542949
208	0.2421967808
209	0.2421473667
210	0.2420498699
211	0.2419631073
212	0.2419156617
213	0.2418045655
214	0.2416808092
215	0.2415925421
216	0.2415336108
217	0.2414339618
218	0.2413375472
219	0.2412780797
220	0.2411933404
221	0.2411440893
222	0.2411083607
223	0.2410212862
224	0.2408910754
225	0.2407549692
226	0.2406716699
227	0.2405865216
228	0.2405308945
229	0.2404606004
230	0.2404017353
231	0.2403358942
232	0.2402994623
233	0.2401943823
234	0.2401196726
235	0.2400398577
236	0.2399124248
237	0.2398693421
238	0.2398486836
239	0.239811152
240	0.2397638951
241	0.239680451
242	0.23958029
243	0.2395528884
244	0.2394815343
245	0.2393649374
246	0.239230159
247	0.2391527614
248	0.2390936402
249	0.2389880339
250	0.2388999866
251	0.2388540513
252	0.2388076621
253	0.2387485689
254	0.2386826323
255	0.2385789336
256	0.2384684745
257	0.2383807554
258	0.2382916792
259	0.237714893
260	0.2376619797
261	0.2375930918
262	0.2375521162
263	0.2374816633
264	0.2374501272
265	0.2373724368
266	0.2371814797
267	0.2370444848
268	0.2370334116
269	0.2366517426
270	0.2365973356
271	0.2365317304
272	0.2364703257
273	0.236330103
274	0.2362990993
275	0.2362259443
276	0.2361630878
277	0.2360960897
278	0.2359975632
279	0.2359664656
280	0.235893579
281	0.2358595615
282	0.2358188522
283	0.23570461
284	0.2356732594
285	0.2355960754
286	0.2354504679
287	0.2354255524
288	0.2353387591
289	0.2352656939
290	0.2352146598
291	0.2351140771
292	0.2350602047
293	0.2350220138
294	0.2349984324
295	0.2347881367
296	0.234694595
297	0.2346707266
298	0.2345623636
299	0.2344485981
300	0.2343807744
301	0.2343631086
302	0.2343476204
303	0.2342859737
304	0.2342211426
305	0.2342079761
306	0.2341832958
307	0.2341258281
308	0.2340501542
309	0.2340002577
310	0.2339177109
311	0.2338911139
312	0.233774342
313	0.2337331943
314	0.2337092992
315	0.2336605775
316	0.233423735
317	0.2333712764
318	0.233327931
319	0.2333104307
320	0.2332235634
321	0.2331871162
322	0.2331787463
323	0.2331428745
324	0.233110155
325	0.233008616
326	0.2329562127
327	0.2328579289
328	0.2327815715
329	0.2327425058
330	0.2326893584
331	0.2326480218
332	0.2325914742
333	0.232544608
334	0.2324451953
335	0.2324249074
336	0.2323481937
337	0.2323355281
338	0.2322847881
339	0.2322474166
340	0.2322160008
341	0.2321648819
342	0.2321315177
343	0.2320758713
344	0.2319925885
345	0.2319170399
346	0.231873699
347	0.2318602618
348	0.2318424953
349	0.2317479812
350	0.2317135079
351	0.2316688979
352	0.2316141358
353	0.2315767323
354	0.2315348066
355	0.2314059979
356	0.2313472232
357	0.2312756382
358	0.2312046105
359	0.2311607624
360	0.2310837233
361	0.230943454
362	0.2308878176
363	0.2308548226
364	0.2308073712
365	0.2307876432
366	0.2307329378
367	0.2306933245
368	0.2306622376
369	0.2305886427
370	0.2305618664
371	0.2305098728
372	0.2304395968
373	0.2303741561
374	0.2303490691
375	0.2303052439
376	0.2302863166
377	0.2301674427
378	0.2301347532
379	0.2300631795
380	0.230020841
381	0.2299909108
382	0.2299189098
383	0.2298261221
384	0.2297574039
385	0.2297142495
386	0.2296550926
387	0.2295601684
388	0.2293440489
389	0.2292882351
390	0.2292564567
391	0.2291775545
392	0.2291178133
393	0.2290618756
394	0.2290286505
395	0.228988595
396	0.2289013454
397	0.2288425635
398	0.2287644644
399	0.2287093172
400	0.2286414973
401	0.2286002333
402	0.2285376864
403	0.2285169064
404	0.2284538357
405	0.2284035752
406	0.2283834889
407	0.228382347
408	0.22832986
409	0.2283016741
410	0.2282865884
411	0.2282211059
412	0.2281755753
413	0.2281669427
414	0.2281324168
415	0.2280375288
416	0.2279866295
417	0.2279101966
418	0.2278587763
419	0.2277885442
420	0.2277303941
421	0.2276755602
422	0.2275847913
423	0.2275200968
424	0.2274928615
425	0.2274346245
426	0.227390838
427	0.2273476703
428	0.227303207
429	0.2272177122
430	0.2271147753
431	0.2270770298
432	0.2270139832
433	0.2269783486
434	0.2269095165
435	0.2268685054
436	0.2268362936
437	0.2267997773
438	0.2267292622
439	0.2266863014
440	0.2266502614
441	0.2266051925
442	0.2265872987
443	0.2265248693
444	0.2264689733
445	0.226420743
446	0.2263620971
447	0.2263426015
448	0.2262806039
449	0.2262153297
450	0.2261747877
451	0.2261354477
452	0.2261188312
453	0.2260776635
454	0.2260494712
455	0.2260273583
456	0.2259991062
457	0.2259485067
458	0.2259340754
459	0.2258828054
460	0.2258030397
461	0.2257646631
462	0.2257259107
463	0.2255658054
464	0.2255102646
465	0.2254755224
466	0.2254565872
467	0.2253945518
468	0.2253174929
469	0.2252588711
470	0.225221006
471	0.2251637317
472	0.2251246373
473	0.2250116704
474	0.2249659572
475	0.2249080555
476	0.2248936149
477	0.2248444253
478	0.2247914252
479	0.2247309562
480	0.2246887592
481	0.2246590625
482	0.2246392437
483	0.2245909795
484	0.2245119567
485	0.2244381239
486	0.2243709035
487	0.2243080271
488	0.2242803638
489	0.2242322275
490	0.2241596769
491	0.224123797
492	0.2239731553
493	0.2239065753
