iter	Passed	Remaining
402	11153	2518
403	11172	2488
404	11202	2461
405	11233	2434
406	11264	2407
407	11291	2380
408	11317	2352
409	11345	2324
410	11375	2297
411	11401	2269
412	11428	2241
413	11458	2214
414	11489	2187
415	11514	2159
416	11544	2131
417	11573	2104
418	11599	2076
419	11626	2048
420	11656	2021
421	11688	1994
422	11724	1967
423	11754	1940
424	11779	1912
425	11806	1884
426	11836	1857
427	11863	1829
428	11889	1801
429	11916	1773
430	11943	1745
431	11969	1717
432	11997	1690
433	12024	1662
434	12051	1634
435	12078	1606
436	12103	1578
437	12129	1550
438	12157	1523
439	12183	1495
440	12210	1467
441	12235	1439
442	12263	1411
443	12292	1384
444	12320	1356
445	12344	1328
446	12372	1300
447	12394	1272
448	12421	1244
449	12443	1216
450	12468	1188
451	12494	1161
452	12519	1133
453	12543	1105
454	12569	1077
455	12600	1050
456	12633	1022
457	12664	995
458	12698	968
459	12726	940
460	12750	912
461	12774	884
462	12799	857
463	12826	829
464	12852	801
465	12872	773
466	12891	745
467	12914	717
468	12936	689
469	12955	661
470	12975	633
471	12996	605
472	13016	577
473	13036	550
474	13056	522
475	13076	494
476	13094	466
477	13115	439
478	13135	411
479	13154	383
480	13173	356
481	13193	328
482	13214	300
483	13244	273
484	13280	246
485	13308	219
486	13344	191
487	13377	164
488	13411	137
489	13440	109
490	13460	82
491	13484	54
492	13512	27
493	13542	0
